,actions-input,rewards
0,5,0.0
1,6,0.0
2,4,0.0
3,0,0.0
4,0,0.0
5,4,0.0
6,4,0.0
7,8,0.0
8,3,0.0
9,3,0.0
10,1,0.0
11,8,0.0
12,2,0.0
13,4,0.0
14,6,0.0
15,5,0.0
16,1,0.0
17,8,0.0
18,5,0.0
19,7,0.0
20,5,0.0
21,4,0.0
22,2,0.0
23,7,0.0
24,2,0.0
25,4,0.0
26,0,0.0
27,2,0.0
28,3,0.0
29,7,0.0
30,8,0.0
31,7,0.0
32,4,0.0
33,1,0.0
34,7,0.0
35,5,0.0
36,1,0.0
37,5,0.0
38,4,0.0
39,4,0.0
40,5,0.0
41,0,0.0
42,2,0.0
43,7,0.0
44,0,0.0
45,4,0.0
46,0,0.0
47,1,0.0
48,4,0.0
49,3,0.0
50,8,0.0
51,4,0.0
52,1,0.0
53,1,0.0
54,7,0.0
55,0,0.0
56,4,0.0
57,1,0.0
58,8,0.0
59,3,0.0
60,6,0.0
61,6,0.0
62,2,0.0
63,1,0.0
64,5,0.0
65,4,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,6,0.0
70,1,0.0
71,0,0.0
72,0,0.0
73,8,0.0
74,5,0.0
75,0,0.0
76,4,0.0
77,7,0.0
78,4,0.0
79,4,0.0
80,6,0.0
81,2,0.0
82,7,0.0
83,7,0.0
84,0,0.0
85,1,10.0
86,0,0.0
87,5,0.0
88,0,0.0
89,7,0.0
90,1,0.0
91,2,10.0
92,3,0.0
93,0,0.0
94,3,0.0
95,4,0.0
96,1,0.0
97,4,0.0
98,5,0.0
99,2,0.0
100,4,0.0
101,5,0.0
102,8,0.0
103,5,0.0
104,6,0.0
105,8,0.0
106,2,0.0
107,5,0.0
108,8,0.0
109,4,0.0
110,0,0.0
111,4,0.0
112,5,0.0
113,2,0.0
114,4,0.0
115,6,0.0
116,7,0.0
117,6,0.0
118,4,0.0
119,0,0.0
120,7,0.0
121,0,0.0
122,0,0.0
123,2,0.0
124,7,0.0
125,2,0.0
126,1,0.0
127,0,0.0
128,7,0.0
129,3,0.0
130,6,0.0
131,3,0.0
132,3,0.0
133,3,0.0
134,6,0.0
135,7,0.0
136,3,0.0
137,1,0.0
138,1,0.0
139,5,0.0
140,8,0.0
141,8,0.0
142,2,0.0
143,1,0.0
144,0,0.0
145,6,0.0
146,7,0.0
147,7,0.0
148,4,0.0
149,4,0.0
150,4,0.0
151,5,0.0
152,3,0.0
153,6,0.0
154,0,0.0
155,3,0.0
156,2,0.0
157,1,0.0
158,6,0.0
159,2,0.0
160,8,0.0
161,2,0.0
162,3,0.0
163,2,0.0
164,8,0.0
165,2,0.0
166,8,0.0
167,1,0.0
168,2,0.0
169,7,0.0
170,0,0.0
171,3,0.0
172,7,0.0
173,2,0.0
