,actions-input,rewards
0,12,0.0
1,6,0.0
2,7,0.0
3,10,0.0
4,1,0.0
5,6,0.0
6,3,0.0
7,5,0.0
8,0,0.0
9,3,0.0
10,14,0.0
11,14,0.0
12,3,0.0
13,12,0.0
14,8,0.0
15,15,0.0
16,3,0.0
17,11,0.0
18,3,0.0
19,7,0.0
20,4,0.0
21,3,0.0
22,5,0.0
23,11,0.0
24,10,0.0
25,14,0.0
26,3,0.0
27,15,0.0
28,13,0.0
29,6,0.0
30,8,0.0
31,4,0.0
32,1,0.0
33,16,0.0
34,3,0.0
35,1,0.0
36,1,0.0
37,7,0.0
38,6,0.0
39,0,0.0
40,15,0.0
41,12,0.0
42,13,0.0
43,9,0.0
44,14,0.0
45,1,0.0
46,5,0.0
47,17,-1.0
48,5,0.0
49,10,0.0
50,7,0.0
51,14,0.0
52,16,0.0
53,16,0.0
54,16,0.0
55,5,0.0
56,7,0.0
57,3,0.0
58,13,0.0
59,6,0.0
60,1,0.0
61,12,0.0
62,0,0.0
63,5,0.0
64,10,0.0
65,9,0.0
66,2,0.0
67,5,0.0
68,4,0.0
69,5,0.0
70,8,0.0
71,9,0.0
72,13,0.0
73,8,0.0
74,15,0.0
75,13,0.0
76,2,0.0
77,1,0.0
78,7,0.0
79,6,0.0
80,11,0.0
81,0,0.0
82,11,0.0
83,6,0.0
84,5,0.0
85,0,0.0
86,15,0.0
87,16,0.0
88,17,0.0
89,10,0.0
90,17,0.0
91,17,0.0
92,0,0.0
93,8,0.0
94,11,0.0
95,4,0.0
96,9,0.0
97,4,0.0
98,17,0.0
99,0,0.0
100,1,0.0
101,1,0.0
102,12,0.0
103,4,0.0
104,7,0.0
105,7,0.0
106,14,0.0
107,17,0.0
108,5,0.0
109,2,0.0
110,11,0.0
111,16,0.0
112,12,0.0
113,10,0.0
114,10,0.0
115,10,0.0
116,5,0.0
117,4,0.0
118,12,0.0
119,16,0.0
120,12,0.0
121,16,0.0
122,17,0.0
123,13,0.0
124,2,0.0
125,10,0.0
126,1,0.0
127,14,0.0
128,16,0.0
129,2,0.0
130,13,0.0
131,7,0.0
132,17,0.0
133,6,0.0
134,11,0.0
135,3,-1.0
136,17,0.0
137,14,0.0
138,4,0.0
139,10,0.0
