,actions-input,rewards
0,4,0.0
1,2,0.0
2,5,0.0
3,1,0.0
4,2,0.0
5,1,0.0
6,2,0.0
7,4,0.0
8,3,0.0
9,5,0.0
10,5,0.0
11,0,0.0
12,4,0.0
13,3,0.0
14,3,0.0
15,3,0.0
16,4,0.0
17,5,0.0
18,0,0.0
19,1,0.0
20,1,0.0
21,2,0.0
22,2,0.0
23,3,0.0
24,3,0.0
25,3,0.0
26,2,0.0
27,1,0.0
28,4,0.0
29,1,0.0
30,5,0.0
31,1,0.0
32,4,0.0
33,2,0.0
34,5,0.0
35,2,0.0
36,5,0.0
37,4,0.0
38,3,0.0
39,5,0.0
40,1,0.0
41,1,0.0
42,0,0.0
43,4,0.0
44,1,0.0
45,1,0.0
46,5,0.0
47,2,0.0
48,0,0.0
49,3,0.0
50,5,0.0
51,4,0.0
52,4,0.0
53,3,0.0
54,2,0.0
55,1,0.0
56,4,0.0
57,2,0.0
58,5,0.0
59,4,0.0
60,2,0.0
61,2,0.0
62,4,0.0
63,3,0.0
64,5,0.0
65,1,0.0
66,5,0.0
67,3,0.0
68,2,0.0
69,5,0.0
70,2,0.0
71,4,0.0
72,4,0.0
73,4,0.0
74,0,0.0
75,4,0.0
76,1,0.0
77,2,0.0
78,3,0.0
79,3,0.0
80,4,0.0
81,3,0.0
82,3,0.0
83,4,5.0
84,2,0.0
85,0,0.0
86,3,0.0
87,0,0.0
88,5,0.0
89,4,0.0
90,3,0.0
91,0,0.0
92,1,0.0
93,3,0.0
94,3,0.0
95,5,0.0
96,5,0.0
97,3,0.0
98,0,10.0
99,5,0.0
100,0,0.0
101,4,0.0
102,1,0.0
103,1,0.0
104,3,0.0
105,4,0.0
106,3,0.0
107,5,0.0
108,2,0.0
109,0,0.0
110,3,0.0
111,4,0.0
112,0,0.0
113,4,0.0
114,0,0.0
115,3,0.0
116,4,0.0
117,1,0.0
118,1,0.0
119,0,0.0
120,1,0.0
121,3,0.0
122,0,0.0
123,3,0.0
124,3,0.0
125,0,0.0
126,0,0.0
127,5,0.0
128,5,0.0
129,1,0.0
130,3,0.0
131,3,0.0
132,2,0.0
133,2,0.0
134,2,0.0
135,2,5.0
136,3,0.0
137,5,0.0
138,0,0.0
139,3,0.0
140,0,0.0
141,0,0.0
142,3,0.0
143,1,0.0
144,1,0.0
145,1,0.0
146,3,0.0
147,0,0.0
148,3,0.0
149,2,0.0
