,actions-input,rewards
0,0,0.0
1,0,0.0
2,0,0.0
3,3,0.0
4,2,0.0
5,5,0.0
6,0,0.0
7,3,0.0
8,0,0.0
9,1,0.0
10,2,0.0
11,3,0.0
12,3,0.0
13,0,0.0
14,2,0.0
15,1,0.0
16,0,0.0
17,0,0.0
18,5,0.0
19,2,0.0
20,0,0.0
21,4,0.0
22,1,0.0
23,3,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,5,0.0
28,2,0.0
29,5,0.0
30,5,0.0
31,2,0.0
32,1,0.0
33,1,0.0
34,2,0.0
35,1,0.0
36,5,0.0
37,4,0.0
38,0,0.0
39,1,0.0
40,2,0.0
41,5,0.0
42,1,0.0
43,4,0.0
44,4,0.0
45,5,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,5,0.0
50,0,0.0
51,2,0.0
52,5,0.0
53,3,0.0
54,0,0.0
55,5,0.0
56,1,0.0
57,3,0.0
58,3,0.0
59,2,0.0
60,1,0.0
61,2,0.0
62,4,0.0
63,1,-1.0
64,1,0.0
65,3,0.0
66,0,0.0
67,0,0.0
68,1,0.0
69,4,0.0
70,4,0.0
71,1,0.0
72,1,0.0
73,3,0.0
74,0,0.0
75,1,0.0
76,0,0.0
77,0,0.0
78,5,0.0
79,5,0.0
80,4,0.0
81,4,0.0
82,3,0.0
83,4,0.0
84,0,0.0
85,4,0.0
86,1,0.0
87,3,0.0
88,0,0.0
89,3,0.0
90,5,0.0
91,4,0.0
92,5,0.0
93,1,0.0
94,1,0.0
95,3,0.0
96,3,0.0
97,5,0.0
98,2,-1.0
99,2,0.0
100,3,0.0
101,3,0.0
102,3,0.0
103,5,0.0
104,4,0.0
105,2,0.0
106,0,0.0
107,4,0.0
108,4,0.0
109,0,0.0
110,5,0.0
111,3,0.0
112,0,0.0
113,2,0.0
114,0,0.0
115,0,0.0
116,5,0.0
117,2,0.0
118,1,0.0
119,5,0.0
120,4,0.0
121,2,0.0
122,5,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,1,0.0
129,4,0.0
130,3,0.0
131,1,0.0
132,4,0.0
133,2,-1.0
134,1,0.0
135,3,0.0
136,4,0.0
137,4,0.0
138,3,0.0
139,4,0.0
140,2,0.0
141,3,0.0
142,0,0.0
143,1,0.0
144,3,0.0
145,4,0.0
146,3,0.0
147,2,0.0
148,1,0.0
149,3,0.0
150,3,0.0
151,0,0.0
152,2,0.0
153,5,0.0
154,0,0.0
155,4,0.0
156,2,0.0
157,1,0.0
158,5,0.0
159,4,0.0
160,1,0.0
161,0,0.0
162,3,0.0
163,5,0.0
164,1,0.0
165,4,0.0
166,5,0.0
167,5,0.0
168,1,-1.0
169,1,0.0
170,5,0.0
171,0,0.0
172,4,0.0
173,0,0.0
174,1,0.0
175,1,0.0
176,2,0.0
177,3,0.0
178,4,0.0
179,1,0.0
180,2,0.0
181,5,0.0
182,0,0.0
183,4,0.0
184,2,0.0
185,3,0.0
186,4,0.0
187,3,0.0
188,3,0.0
189,3,0.0
190,0,0.0
191,1,0.0
192,0,0.0
193,1,0.0
194,5,0.0
195,3,0.0
196,0,0.0
197,3,0.0
198,2,0.0
199,1,0.0
200,1,0.0
201,1,0.0
202,5,0.0
203,5,0.0
204,0,0.0
205,5,0.0
206,5,0.0
207,4,0.0
208,5,0.0
209,0,0.0
210,4,0.0
211,3,0.0
212,3,0.0
213,1,0.0
214,5,0.0
215,3,0.0
216,3,1.0
217,0,0.0
218,5,0.0
219,3,0.0
220,0,0.0
221,5,0.0
222,0,0.0
223,3,0.0
224,3,0.0
225,4,0.0
226,1,0.0
227,1,0.0
228,2,0.0
229,0,0.0
230,3,0.0
231,1,0.0
232,1,0.0
233,3,0.0
