,actions-input,rewards
0,1,1.0
1,1,1.0
2,1,1.0
3,0,1.0
4,0,1.0
5,1,1.0
6,1,1.0
7,0,1.0
8,1,1.0
9,1,1.0
10,0,1.0
11,0,1.0
12,1,1.0
13,0,1.0
14,0,-10.0
15,1,1.0
16,1,1.0
17,1,1.0
18,1,1.0
19,0,1.0
20,0,1.0
21,1,1.0
22,1,1.0
23,0,1.0
24,0,1.0
25,1,-10.0
26,0,1.0
27,1,1.0
28,1,1.0
29,1,1.0
30,0,1.0
31,0,1.0
32,0,1.0
33,1,1.0
34,0,1.0
35,1,1.0
36,1,1.0
37,0,1.0
38,1,1.0
39,0,1.0
40,1,1.0
41,0,1.0
42,1,1.0
43,1,1.0
44,1,1.0
45,1,1.0
46,0,1.0
47,1,1.0
48,0,1.0
49,0,-10.0
50,1,1.0
51,0,1.0
52,1,1.0
53,0,1.0
54,0,1.0
55,1,1.0
56,1,1.0
57,1,1.0
58,1,1.0
59,1,1.0
60,0,1.0
61,0,1.0
62,1,1.0
63,0,1.0
64,1,1.0
65,0,1.0
66,0,1.0
67,0,1.0
68,1,1.0
69,1,1.0
70,1,1.0
71,0,-10.0
72,1,1.0
73,1,1.0
74,1,1.0
75,0,1.0
76,0,1.0
77,0,1.0
78,1,1.0
79,1,1.0
80,0,1.0
81,1,1.0
82,0,1.0
83,1,1.0
84,1,1.0
85,1,1.0
86,1,1.0
87,0,1.0
88,1,1.0
89,0,-10.0
90,0,1.0
91,0,1.0
92,1,1.0
93,0,1.0
94,0,1.0
95,0,1.0
96,0,1.0
97,1,1.0
98,1,1.0
99,0,-10.0
100,1,1.0
101,0,1.0
102,1,1.0
103,1,1.0
104,0,1.0
105,0,1.0
106,0,1.0
107,0,1.0
108,0,1.0
109,1,1.0
110,1,1.0
111,1,1.0
112,1,1.0
113,0,1.0
114,1,1.0
115,0,1.0
116,0,1.0
117,0,1.0
118,0,1.0
119,1,1.0
120,0,1.0
121,1,1.0
122,1,1.0
123,0,1.0
124,1,-10.0
125,1,1.0
126,0,1.0
127,0,1.0
128,1,1.0
129,1,1.0
130,1,1.0
131,1,1.0
132,0,1.0
133,1,1.0
134,0,1.0
135,1,1.0
136,0,1.0
137,1,1.0
138,0,1.0
139,0,1.0
140,0,-10.0
141,1,1.0
142,1,1.0
143,0,1.0
144,1,1.0
145,1,1.0
146,0,1.0
147,0,1.0
148,1,1.0
149,0,1.0
150,0,1.0
151,1,1.0
152,0,1.0
153,1,1.0
154,0,1.0
155,1,1.0
156,0,1.0
157,0,1.0
158,1,1.0
159,0,1.0
160,0,1.0
161,0,1.0
162,1,1.0
163,0,1.0
164,0,1.0
165,1,1.0
166,1,1.0
167,0,1.0
168,0,1.0
169,0,1.0
170,1,1.0
171,0,1.0
172,0,1.0
173,1,1.0
174,1,-10.0
