,actions-input,rewards
0,5,0.0
1,4,0.0
2,5,0.0
3,3,0.0
4,1,0.0
5,4,0.0
6,0,0.0
7,2,0.0
8,4,0.0
9,1,0.0
10,2,0.0
11,2,0.0
12,1,0.0
13,3,0.0
14,4,0.0
15,0,0.0
16,0,0.0
17,3,0.0
18,5,0.0
19,3,0.0
20,0,0.0
21,2,0.0
22,3,0.0
23,4,0.0
24,5,0.0
25,4,0.0
26,0,0.0
27,5,0.0
28,0,0.0
29,5,0.0
30,3,0.0
31,3,0.0
32,1,0.0
33,3,0.0
34,0,0.0
35,2,0.0
36,3,0.0
37,3,0.0
38,3,0.0
39,4,0.0
40,4,0.0
41,0,0.0
42,5,0.0
43,4,0.0
44,5,0.0
45,1,0.0
46,4,0.0
47,3,0.0
48,3,0.0
49,2,0.0
50,0,0.0
51,5,0.0
52,5,0.0
53,3,0.0
54,1,0.0
55,4,0.0
56,4,0.0
57,2,0.0
58,0,0.0
59,3,0.0
60,5,0.0
61,0,0.0
62,3,0.0
63,4,0.0
64,1,0.0
65,5,0.0
66,1,0.0
67,3,0.0
68,3,0.0
69,2,0.0
70,0,0.0
71,2,0.0
72,5,0.0
73,4,0.0
74,4,0.0
75,2,0.0
76,3,0.0
77,0,0.0
78,5,0.0
79,3,0.0
80,1,0.0
81,3,0.0
82,5,0.0
83,5,0.0
84,1,0.0
85,0,0.0
86,4,0.0
87,1,0.0
88,5,0.0
89,0,0.0
90,0,0.0
91,3,0.0
92,5,0.0
93,3,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,5,0.0
98,5,0.0
99,5,0.0
100,1,0.0
101,4,0.0
102,4,0.0
103,0,0.0
104,2,0.0
105,3,0.0
106,5,0.0
107,3,0.0
108,1,0.0
109,0,0.0
110,2,0.0
111,2,0.0
112,0,0.0
113,0,0.0
114,3,0.0
115,0,0.0
116,5,0.0
117,2,0.0
118,1,0.0
119,5,0.0
120,1,0.0
121,3,0.0
122,1,0.0
123,5,0.0
124,0,0.0
125,1,0.0
126,0,0.0
127,5,0.0
128,5,0.0
129,3,0.0
130,2,0.0
131,5,0.0
132,2,0.0
133,0,5.0
134,5,0.0
135,4,0.0
136,2,0.0
137,2,0.0
138,4,0.0
139,4,0.0
140,0,0.0
141,0,0.0
142,3,0.0
143,2,0.0
144,1,0.0
145,3,10.0
146,3,0.0
147,3,0.0
148,5,0.0
149,3,0.0
150,2,0.0
151,0,0.0
152,1,0.0
153,5,0.0
154,2,0.0
155,0,0.0
156,3,0.0
157,0,0.0
158,1,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,2,0.0
163,2,0.0
164,5,0.0
165,0,0.0
166,4,0.0
167,3,0.0
168,0,0.0
169,4,0.0
170,1,0.0
171,5,0.0
172,1,0.0
173,4,0.0
174,1,15.0
175,1,0.0
176,3,0.0
177,3,0.0
178,1,0.0
179,5,0.0
180,1,0.0
181,0,0.0
182,4,0.0
183,1,0.0
184,2,0.0
185,5,0.0
186,0,0.0
187,2,0.0
188,3,0.0
189,3,0.0
190,4,0.0
191,3,0.0
192,5,0.0
193,3,0.0
194,4,0.0
195,2,20.0
196,1,0.0
197,0,0.0
198,3,0.0
199,5,0.0
200,3,0.0
201,3,0.0
202,1,0.0
203,4,0.0
204,3,0.0
205,0,0.0
206,4,0.0
207,4,0.0
208,5,0.0
209,1,0.0
210,4,0.0
211,1,0.0
212,2,0.0
213,5,0.0
214,4,0.0
215,4,0.0
216,5,0.0
217,3,0.0
218,5,0.0
219,3,0.0
220,5,0.0
221,3,0.0
222,3,0.0
223,4,0.0
224,4,0.0
225,3,0.0
226,5,0.0
227,2,0.0
228,5,0.0
229,2,0.0
230,2,0.0
231,3,0.0
232,2,0.0
233,2,0.0
234,1,0.0
235,1,0.0
236,0,0.0
237,4,0.0
238,3,0.0
239,4,0.0
240,3,0.0
241,0,0.0
242,5,0.0
243,1,0.0
244,0,0.0
245,4,0.0
246,5,0.0
247,3,0.0
248,5,0.0
249,5,0.0
250,2,0.0
251,0,0.0
252,1,0.0
253,4,0.0
254,2,0.0
255,3,0.0
256,5,0.0
257,0,0.0
258,2,0.0
259,0,0.0
260,1,0.0
261,1,0.0
262,3,0.0
263,2,0.0
264,5,0.0
265,4,0.0
266,4,0.0
267,1,0.0
268,3,0.0
269,0,0.0
270,4,0.0
271,1,0.0
272,4,0.0
273,2,0.0
274,3,0.0
275,5,0.0
276,3,0.0
277,1,0.0
278,0,0.0
279,0,25.0
280,5,0.0
281,4,0.0
282,4,0.0
283,3,0.0
284,0,0.0
285,1,0.0
286,5,0.0
287,3,0.0
288,3,0.0
289,0,0.0
290,4,0.0
291,5,0.0
292,0,0.0
293,0,0.0
294,2,0.0
295,1,0.0
296,0,0.0
297,3,0.0
298,3,0.0
299,4,0.0
300,5,0.0
301,1,0.0
302,4,0.0
303,5,0.0
304,3,0.0
305,0,0.0
306,5,0.0
307,3,0.0
308,1,0.0
309,4,0.0
310,1,0.0
311,3,0.0
312,4,0.0
313,4,0.0
314,3,0.0
315,4,0.0
316,2,0.0
317,4,0.0
318,2,0.0
319,5,0.0
320,4,0.0
321,4,0.0
322,4,0.0
323,2,0.0
324,1,0.0
325,3,0.0
326,5,0.0
327,0,0.0
328,4,0.0
329,5,0.0
330,4,0.0
331,2,0.0
332,0,0.0
333,3,0.0
334,3,0.0
335,4,0.0
336,0,0.0
337,1,0.0
338,2,0.0
339,0,0.0
340,0,0.0
341,3,0.0
342,5,0.0
343,3,0.0
344,2,0.0
345,4,0.0
346,2,0.0
347,4,0.0
348,5,0.0
349,1,0.0
350,2,0.0
351,0,0.0
352,2,0.0
