,actions-input,rewards
0,3,0.0
1,7,0.0
2,5,0.0
3,0,0.0
4,0,0.0
5,1,0.0
6,4,0.0
7,3,0.0
8,0,0.0
9,5,0.0
10,4,0.0
11,0,0.0
12,3,0.0
13,3,0.0
14,6,0.0
15,8,0.0
16,3,0.0
17,4,0.0
18,5,0.0
19,5,0.0
20,2,0.0
21,8,0.0
22,2,0.0
23,7,0.0
24,0,0.0
25,8,0.0
26,4,0.0
27,3,0.0
28,4,0.0
29,2,0.0
30,6,0.0
31,3,0.0
32,8,0.0
33,1,0.0
34,0,0.0
35,4,0.0
36,2,0.0
37,8,0.0
38,0,0.0
39,7,0.0
40,3,0.0
41,2,0.0
42,1,0.0
43,2,0.0
44,0,0.0
45,2,0.0
46,8,0.0
47,3,0.0
48,6,0.0
49,5,0.0
50,8,0.0
51,5,0.0
52,2,0.0
53,6,0.0
54,4,0.0
55,7,0.0
56,4,0.0
57,1,0.0
58,8,0.0
59,3,0.0
60,6,0.0
61,1,0.0
62,2,0.0
63,5,0.0
64,0,0.0
65,4,0.0
66,3,0.0
67,1,0.0
68,6,0.0
69,3,0.0
70,1,0.0
71,3,0.0
72,1,0.0
73,7,0.0
74,6,0.0
75,4,0.0
76,1,0.0
77,2,0.0
78,6,0.0
79,4,0.0
80,6,0.0
81,7,0.0
82,8,0.0
83,7,0.0
84,2,0.0
85,7,0.0
86,8,0.0
87,3,0.0
88,0,0.0
89,7,0.0
90,0,0.0
91,6,0.0
92,1,0.0
93,0,0.0
94,7,0.0
95,7,0.0
96,1,0.0
97,5,0.0
98,2,0.0
99,1,0.0
100,3,0.0
101,4,0.0
102,2,0.0
103,1,0.0
104,7,0.0
105,3,0.0
106,5,0.0
107,3,0.0
108,4,0.0
109,7,0.0
110,5,0.0
111,2,0.0
112,1,0.0
113,0,0.0
114,5,0.0
115,5,0.0
116,0,0.0
117,6,0.0
118,6,0.0
119,3,0.0
120,0,0.0
121,1,0.0
122,0,0.0
123,1,0.0
124,7,0.0
125,4,0.0
126,0,0.0
127,3,0.0
128,8,0.0
129,3,0.0
130,1,0.0
131,2,0.0
132,1,0.0
133,4,0.0
134,3,0.0
135,8,0.0
136,7,0.0
137,1,0.0
138,5,0.0
139,7,0.0
140,8,0.0
141,5,0.0
142,8,0.0
143,1,0.0
144,4,0.0
145,8,0.0
146,6,0.0
147,8,0.0
148,7,0.0
149,4,0.0
150,8,0.0
151,2,0.0
152,5,0.0
153,3,0.0
154,3,0.0
155,4,0.0
156,2,0.0
157,1,0.0
158,6,0.0
159,7,0.0
160,7,0.0
161,8,0.0
162,5,0.0
163,1,0.0
164,4,0.0
165,6,0.0
166,6,0.0
167,1,0.0
168,7,0.0
169,0,0.0
170,6,0.0
171,2,0.0
172,3,0.0
173,1,0.0
174,2,0.0
175,4,0.0
176,3,0.0
177,8,0.0
178,8,0.0
179,5,0.0
180,6,0.0
181,3,0.0
182,3,0.0
183,1,0.0
184,3,0.0
185,4,0.0
186,4,0.0
187,2,0.0
188,5,0.0
189,3,0.0
190,7,0.0
191,8,0.0
192,0,0.0
193,5,0.0
194,8,0.0
195,5,0.0
196,3,0.0
197,6,0.0
198,7,0.0
199,8,0.0
200,2,0.0
201,6,0.0
202,8,0.0
203,5,0.0
204,3,0.0
205,3,0.0
206,8,0.0
207,4,0.0
208,3,0.0
209,3,0.0
210,1,0.0
211,6,0.0
212,3,0.0
213,6,0.0
214,3,0.0
215,7,0.0
216,0,0.0
217,7,0.0
218,4,0.0
219,7,0.0
220,4,0.0
221,2,0.0
222,0,0.0
223,0,0.0
224,4,0.0
225,6,0.0
226,2,0.0
227,7,0.0
228,0,0.0
229,6,0.0
230,7,0.0
231,3,0.0
232,3,0.0
233,7,0.0
234,2,0.0
235,2,0.0
236,0,0.0
237,4,0.0
238,0,0.0
239,1,0.0
240,5,0.0
241,4,0.0
242,8,0.0
243,5,0.0
244,2,0.0
245,7,0.0
246,7,0.0
247,3,0.0
248,5,0.0
249,7,0.0
250,7,0.0
251,0,0.0
252,6,0.0
253,0,0.0
254,6,0.0
255,7,0.0
256,6,0.0
257,4,0.0
258,5,0.0
259,2,0.0
260,6,0.0
261,5,0.0
262,3,0.0
263,2,0.0
264,1,0.0
265,4,0.0
266,1,0.0
267,5,0.0
268,1,0.0
269,7,0.0
270,0,0.0
271,6,0.0
272,3,0.0
273,2,0.0
274,5,0.0
275,6,0.0
276,1,0.0
277,6,0.0
278,5,0.0
279,2,0.0
280,4,0.0
281,3,0.0
282,4,0.0
283,4,0.0
284,7,0.0
285,5,0.0
286,6,0.0
287,7,0.0
288,4,0.0
289,0,0.0
290,1,0.0
291,8,0.0
292,5,0.0
293,3,0.0
294,7,0.0
295,5,0.0
296,6,0.0
297,2,0.0
298,7,0.0
299,6,0.0
300,6,0.0
301,8,0.0
302,3,0.0
303,4,0.0
304,0,0.0
305,1,0.0
306,4,0.0
307,8,0.0
308,5,0.0
309,1,0.0
310,8,0.0
311,5,0.0
312,2,0.0
313,2,0.0
314,7,0.0
315,6,0.0
316,8,0.0
317,6,0.0
318,0,0.0
319,1,0.0
320,2,0.0
321,5,0.0
322,6,0.0
323,3,0.0
324,8,0.0
325,1,0.0
326,2,0.0
327,5,0.0
328,4,0.0
329,2,0.0
330,1,0.0
331,8,0.0
332,4,0.0
333,8,0.0
334,4,0.0
335,5,0.0
336,5,0.0
337,7,0.0
338,3,0.0
339,8,0.0
340,1,0.0
341,1,0.0
342,5,0.0
343,7,0.0
344,2,0.0
345,8,0.0
346,8,0.0
347,3,0.0
348,7,0.0
349,2,0.0
350,4,0.0
351,4,0.0
352,1,0.0
353,6,0.0
354,8,0.0
355,0,0.0
356,6,0.0
357,1,0.0
358,0,0.0
359,3,0.0
360,3,0.0
361,4,0.0
362,4,0.0
363,8,0.0
364,2,0.0
365,2,0.0
366,7,0.0
367,8,0.0
368,1,0.0
369,6,0.0
370,7,0.0
371,7,0.0
372,2,0.0
373,3,0.0
374,8,0.0
375,1,0.0
376,1,0.0
377,4,0.0
378,8,0.0
379,0,0.0
380,1,0.0
381,7,0.0
382,5,0.0
383,8,0.0
384,5,0.0
385,7,0.0
386,3,0.0
387,5,0.0
388,7,0.0
389,4,0.0
390,5,0.0
391,7,0.0
392,1,0.0
393,1,0.0
394,7,0.0
395,3,0.0
396,7,0.0
397,4,0.0
398,0,0.0
399,7,0.0
400,2,0.0
401,4,0.0
402,3,0.0
403,2,0.0
404,8,0.0
405,7,0.0
406,5,0.0
407,1,0.0
408,8,0.0
409,4,0.0
410,5,0.0
411,8,0.0
412,1,0.0
413,3,0.0
414,0,0.0
415,6,0.0
416,0,0.0
417,5,0.0
418,2,0.0
419,0,0.0
420,4,0.0
421,0,0.0
422,8,0.0
423,6,0.0
424,7,0.0
425,3,0.0
426,0,0.0
427,6,0.0
428,2,0.0
429,0,0.0
430,1,0.0
431,7,0.0
432,8,0.0
433,4,0.0
434,5,0.0
435,4,0.0
436,8,0.0
437,8,0.0
438,3,0.0
439,7,0.0
440,8,0.0
441,0,0.0
442,6,0.0
443,6,0.0
444,2,0.0
445,0,0.0
446,7,0.0
447,6,0.0
448,8,0.0
449,3,0.0
450,3,0.0
451,3,0.0
452,8,0.0
453,7,0.0
454,1,0.0
455,7,0.0
456,0,0.0
457,4,0.0
458,0,0.0
459,1,0.0
460,2,0.0
461,1,0.0
462,8,0.0
463,7,0.0
464,0,0.0
465,1,0.0
466,3,0.0
467,6,0.0
468,3,0.0
469,8,0.0
470,4,0.0
471,8,0.0
472,6,0.0
473,0,0.0
474,6,0.0
475,1,0.0
476,3,0.0
477,2,0.0
478,5,0.0
479,5,0.0
480,1,0.0
481,3,0.0
482,0,0.0
483,7,0.0
484,7,0.0
485,6,0.0
486,7,0.0
487,4,0.0
488,7,0.0
489,3,0.0
490,1,0.0
491,8,0.0
492,4,0.0
493,6,0.0
494,4,0.0
495,5,0.0
496,3,0.0
497,5,0.0
498,1,0.0
499,6,0.0
500,3,0.0
501,2,0.0
502,2,0.0
503,7,0.0
504,6,0.0
505,3,0.0
506,4,0.0
507,5,0.0
508,6,0.0
509,0,0.0
510,8,0.0
511,0,0.0
512,5,0.0
513,8,0.0
514,0,0.0
515,4,0.0
516,5,0.0
517,1,0.0
518,7,0.0
519,5,0.0
520,3,0.0
521,2,0.0
522,7,0.0
523,0,0.0
524,6,0.0
525,0,0.0
526,0,0.0
527,7,0.0
528,0,0.0
529,7,0.0
530,4,0.0
531,1,0.0
532,8,0.0
533,1,0.0
534,6,0.0
535,3,0.0
536,8,0.0
537,1,0.0
538,7,0.0
539,5,0.0
540,5,0.0
541,3,0.0
542,2,0.0
543,4,0.0
544,4,0.0
545,0,0.0
546,7,0.0
547,5,0.0
548,4,0.0
549,3,0.0
550,4,0.0
551,1,0.0
