,actions-input,rewards
0,1,1.0
1,1,1.0
2,0,1.0
3,0,1.0
4,0,1.0
5,0,1.0
6,0,1.0
7,1,1.0
8,1,1.0
9,1,1.0
10,0,1.0
11,0,1.0
12,0,1.0
13,0,1.0
14,1,1.0
15,0,1.0
16,1,1.0
17,0,1.0
18,1,1.0
19,1,1.0
20,1,1.0
21,1,1.0
22,1,1.0
23,1,1.0
24,1,1.0
25,1,1.0
26,0,1.0
27,1,1.0
28,0,1.0
29,1,1.0
30,0,1.0
31,1,1.0
32,1,1.0
33,0,1.0
34,1,1.0
35,0,1.0
36,1,1.0
37,0,1.0
38,1,1.0
39,1,1.0
40,1,1.0
41,1,1.0
42,1,1.0
43,0,-10.0
44,1,1.0
45,0,1.0
46,0,1.0
47,1,1.0
48,1,1.0
49,0,1.0
50,1,1.0
51,0,1.0
52,1,1.0
53,0,1.0
54,0,1.0
55,0,1.0
56,1,1.0
57,1,1.0
58,1,1.0
59,0,1.0
60,1,1.0
61,1,1.0
62,1,1.0
63,0,1.0
64,1,1.0
65,1,1.0
66,1,1.0
67,0,1.0
68,0,-10.0
69,1,1.0
70,1,1.0
71,1,1.0
72,1,1.0
73,1,1.0
74,0,1.0
75,0,1.0
76,0,1.0
77,0,1.0
78,0,1.0
79,0,1.0
80,1,1.0
81,0,1.0
82,0,1.0
83,1,1.0
84,1,1.0
85,1,1.0
86,0,1.0
87,0,1.0
88,0,1.0
89,1,1.0
90,0,1.0
91,1,1.0
92,1,1.0
93,0,1.0
94,0,1.0
95,1,1.0
96,1,1.0
97,0,-10.0
98,1,1.0
99,1,1.0
100,1,1.0
101,0,1.0
102,1,1.0
103,1,1.0
104,0,1.0
105,1,1.0
106,1,1.0
107,0,1.0
108,0,-10.0
109,1,1.0
110,1,1.0
111,1,1.0
112,0,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,1,1.0
117,0,1.0
118,1,1.0
119,0,1.0
120,1,1.0
121,0,1.0
122,1,1.0
123,0,1.0
124,0,1.0
125,1,1.0
126,0,1.0
127,1,1.0
128,1,1.0
129,0,1.0
130,0,1.0
131,1,1.0
132,1,1.0
133,0,1.0
134,0,1.0
135,0,1.0
136,1,1.0
137,0,1.0
138,1,1.0
139,1,1.0
140,0,-10.0
141,0,1.0
142,1,1.0
143,1,1.0
144,1,1.0
145,1,1.0
146,1,1.0
147,0,1.0
148,0,1.0
149,0,1.0
150,1,1.0
151,0,1.0
152,1,1.0
153,1,1.0
154,0,-10.0
155,0,1.0
156,1,1.0
157,0,1.0
158,0,1.0
159,0,1.0
160,0,1.0
161,1,1.0
162,0,1.0
163,0,1.0
164,0,1.0
165,0,1.0
166,0,-10.0
167,1,1.0
168,0,1.0
169,1,1.0
170,0,1.0
171,0,1.0
172,0,1.0
173,1,1.0
174,1,1.0
175,1,1.0
176,1,1.0
177,0,1.0
178,0,1.0
179,0,1.0
180,0,1.0
181,0,1.0
182,0,1.0
183,1,1.0
184,0,1.0
185,1,1.0
186,1,1.0
187,1,1.0
188,0,1.0
189,0,1.0
190,1,1.0
191,0,1.0
192,0,1.0
193,1,1.0
194,0,-10.0
195,1,1.0
196,1,1.0
197,0,1.0
198,0,1.0
199,0,1.0
200,1,1.0
201,0,1.0
202,0,1.0
203,1,1.0
204,0,1.0
205,0,1.0
206,0,1.0
207,1,1.0
208,1,1.0
209,1,1.0
210,1,1.0
211,1,1.0
212,0,1.0
213,1,1.0
214,0,1.0
215,1,1.0
216,1,1.0
217,0,1.0
218,0,1.0
219,1,1.0
220,1,1.0
221,0,1.0
222,1,1.0
223,1,1.0
224,0,1.0
225,0,1.0
226,0,1.0
227,0,1.0
228,1,1.0
229,1,1.0
230,0,1.0
231,0,1.0
232,0,1.0
233,0,-10.0
234,1,1.0
235,1,1.0
236,1,1.0
237,1,1.0
238,0,1.0
239,1,1.0
240,1,1.0
241,0,1.0
242,0,1.0
243,1,1.0
