,actions-input,rewards
0,5,0.0
1,2,0.0
2,0,0.0
3,5,0.0
4,1,0.0
5,2,0.0
6,2,0.0
7,1,0.0
8,2,0.0
9,5,0.0
10,4,0.0
11,2,0.0
12,1,0.0
13,3,0.0
14,3,0.0
15,5,0.0
16,5,0.0
17,3,0.0
18,3,0.0
19,3,0.0
20,2,0.0
21,4,0.0
22,4,0.0
23,2,0.0
24,2,0.0
25,1,0.0
26,1,0.0
27,0,0.0
28,2,0.0
29,2,0.0
30,3,0.0
31,0,0.0
32,1,0.0
33,1,0.0
34,1,0.0
35,0,0.0
36,1,0.0
37,0,0.0
38,3,0.0
39,2,0.0
40,1,0.0
41,4,0.0
42,4,0.0
43,5,0.0
44,2,0.0
45,3,0.0
46,3,0.0
47,4,0.0
48,4,0.0
49,1,0.0
50,4,0.0
51,4,0.0
52,0,0.0
53,3,0.0
54,4,0.0
55,4,0.0
56,1,0.0
57,4,0.0
58,3,0.0
59,5,0.0
60,1,0.0
61,0,0.0
62,2,0.0
63,5,0.0
64,1,0.0
65,0,0.0
66,4,0.0
67,1,0.0
68,0,0.0
69,3,0.0
70,1,0.0
71,2,0.0
72,0,0.0
73,1,0.0
74,1,0.0
75,1,0.0
76,2,0.0
77,4,0.0
78,1,0.0
79,0,0.0
80,2,0.0
81,3,0.0
82,4,0.0
83,2,0.0
84,4,-1.0
85,2,0.0
86,2,0.0
87,5,0.0
88,0,0.0
89,1,0.0
90,5,0.0
91,3,0.0
92,5,0.0
93,3,0.0
94,3,0.0
95,4,0.0
96,4,0.0
97,4,0.0
98,4,0.0
99,1,0.0
100,1,0.0
101,1,0.0
102,0,0.0
103,3,0.0
104,5,0.0
105,4,0.0
106,2,0.0
107,2,0.0
108,2,0.0
109,4,0.0
110,3,0.0
111,0,0.0
112,4,0.0
113,0,0.0
114,5,0.0
115,4,0.0
116,2,0.0
117,0,0.0
118,3,0.0
119,1,0.0
120,0,0.0
121,5,0.0
122,4,0.0
123,3,0.0
124,2,0.0
125,0,0.0
126,0,0.0
127,5,0.0
128,5,-1.0
129,2,0.0
130,5,0.0
131,2,0.0
132,4,0.0
133,4,0.0
134,1,0.0
135,1,0.0
136,5,0.0
137,3,0.0
138,1,0.0
139,2,0.0
140,5,0.0
141,0,0.0
142,1,0.0
143,1,0.0
144,3,0.0
145,3,0.0
146,2,0.0
147,0,0.0
148,2,0.0
149,1,0.0
150,4,0.0
151,1,0.0
152,5,0.0
153,4,0.0
154,1,0.0
155,1,0.0
156,3,0.0
157,5,0.0
158,5,0.0
159,3,0.0
160,3,0.0
161,3,0.0
162,2,0.0
163,1,0.0
164,3,0.0
165,1,0.0
166,5,0.0
167,3,0.0
168,3,0.0
169,3,0.0
170,2,0.0
171,2,0.0
172,4,0.0
173,5,0.0
174,3,0.0
175,3,0.0
176,0,0.0
177,3,0.0
178,2,0.0
179,4,0.0
180,0,0.0
181,2,0.0
182,1,0.0
183,4,0.0
184,3,0.0
185,1,0.0
186,1,0.0
187,5,0.0
188,0,0.0
189,5,0.0
190,2,0.0
191,3,0.0
192,0,0.0
193,0,0.0
194,5,0.0
195,4,0.0
196,0,0.0
197,2,0.0
198,5,0.0
199,4,0.0
200,4,0.0
201,5,0.0
202,3,0.0
203,2,0.0
204,4,0.0
205,3,0.0
206,5,0.0
207,0,0.0
208,1,0.0
209,5,0.0
210,0,0.0
